Metric_Primary,Metric_Secondary,Value,Percentage
Number setting a quit date,Male,"77,068",100
Number who successfully quit (self-reported),Male,"41,641",54
Number who had not quit,Male,"19,462",25
Number not known/lost to follow up,Male,"15,965",21
Number who had successfully quit confirmed by CO validation,Male,"29,696",39
Number setting a quit date,Female,"89,812",100
Number who successfully quit (self-reported),Female,"44,526",50
Number who had not quit,Female,"25,098",28
Number not known/lost to follow up,Female,"20,188",22
Number who had successfully quit confirmed by CO validation,Female,"30,808",34
