Metric_Primary,Metric_Secondary,Value,Percentage
Setting a quit date,Male,"77,068",100
Successfully quit (self-reported),Male,"41,641",54
Not quit,Male,"19,462",25
Not known/lost to follow up,Male,"15,965",21
Successfully quit confirmed by CO validation,Male,"29,696",39
Setting a quit date,Female,"89,812",100
Successfully quit (self-reported),Female,"44,526",50
Not quit,Female,"25,098",28
Not known/lost to follow up,Female,"20,188",22
Successfully quit confirmed by CO validation,Female,"30,808",34
